Date,Open,High,Low,Close,Volume
2010-11-09,14849319235.049000,15610434028.157625,14849319235.049000,15427766408.533333,0
2010-11-10,15481044433.116459,16029045546.158943,15412543860.997272,15435376230.400000,0
2010-11-11,16607490645.695978,17109825278.076113,15838767406.483229,15968156603.733334,0
2010-11-12,16188882497.217142,16478105272.069942,15245101639.940527,15998604629.333334,0
2010-11-15,15579989256.638086,16363936483.884825,15557156884.788694,16348714325.333334,0
2010-11-16,16782546326.757547,17315327004.776588,16287823638.254045,17064158822.400000,0
2010-11-17,17125046791.029602,17292492239.514484,16500934929.145281,17094602478.933332,0
2010-11-18,16592270390.862070,16592270390.862070,15922490226.933990,16135602176.000000,0
2010-11-19,16249768968.384705,16249768968.384705,15229877446.507418,15328822340.266666,0
2010-11-22,15328823458.613041,15427768359.591022,14750377943.931705,14773210316.799999,0
2010-11-23,15351657407.701180,15351657407.701180,14872155066.906404,15123323289.600000,0
2010-11-24,14849319913.611258,14849319913.611258,13859873581.680218,13958818474.666666,0
2010-11-26,14270871958.609188,14301316269.306196,14004482508.055040,14194761181.866667,0
2010-11-29,14400263404.805115,14811265127.621670,14209985567.111870,14293707434.666666,0
2010-11-30,14841707341.411699,14948262430.483438,14613373275.731190,14796040874.666666,0
2010-12-01,14088206861.462620,14088206861.462620,13334704888.504648,13387982438.400000,0
2010-12-02,13349929598.492989,13349929598.492989,12596426615.466667,12596426615.466667,0
2010-12-03,12893259668.280993,12916092905.367119,12368091751.388830,12459424699.733334,0
2010-12-06,12406146552.716011,12771480926.540859,12406146552.716011,12497480362.666666,0
2010-12-07,12124537454.668030,12535538386.733166,11941869796.431553,12467037798.400000,0
2010-12-08,12535539921.771629,12626873762.074146,12162594345.345924,12177816507.733334,0
2010-12-09,11987538094.661825,12200650106.241274,11896205117.680420,12101705181.866667,0
2010-12-10,12033202255.076954,12215869026.531380,11926646277.571096,12048424413.866667,0
2010-12-13,11903813420.717949,12368092742.588566,11842923917.630676,12352869717.333334,0
2010-12-14,12299530671.584566,12705534413.753408,12188078504.088772,12602043050.666666,0
2010-12-15,12769224220.553749,13047854259.976904,12458750955.086647,12992128614.400000,0
2010-12-16,12968244422.943064,13047852477.175632,12625927072.435442,12761261670.400000,0
2010-12-17,12753301661.799158,12753301661.799158,12410984289.903650,12498554060.799999,0
2010-12-20,12506512851.170021,12745338801.838678,12403021485.111055,12617965021.866667,0
2010-12-21,12498551336.386889,12498551336.386889,12219921378.361082,12363216759.466667,0
2010-12-22,12434864904.808035,12713494862.876505,12315451936.240253,12339334348.799999,0
2010-12-23,12530395464.247049,12530395464.247049,12323413634.608356,12466709026.133333,0
2010-12-27,12705537039.831411,12888636484.853064,12323415631.909933,12395062886.400000,0
2010-12-28,12426907156.646420,12689615570.946980,12339337383.289806,12538358442.666666,0
2010-12-29,12498554060.799999,12657771084.982161,12434867613.434835,12498554060.799999,0
2010-12-30,12482632658.768232,12570202431.136467,12331376437.964386,12395062886.400000,0
2010-12-31,12490591444.065874,12578161202.266869,12363217662.032206,12442826615.466667,0
2011-01-03,12227880547.793135,12283606169.640682,11734307131.210577,12180115729.066668,0
2011-01-04,12060705486.696764,12482630864.233431,11877605162.228813,12116431121.066668,0
2011-01-05,12323413693.403984,12387100131.821550,11901487415.811117,11973135564.799999,0
2011-01-06,11869645621.203848,11869645621.203848,11288503177.818022,11304424789.333334,0
2011-01-07,11296461619.032963,11758190973.636862,11089478901.120464,11232774280.533333,0
2011-01-10,11344228921.217155,11415877079.456423,10826772919.189976,10882498560.000000,0
2011-01-11,10699397705.103148,10978027683.841831,10691436900.325991,10771045853.866667,0
